"","ï..Sno","Date","Time","State","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"106",601,2020-04-03,"6:00 PM","Jharkhand","-","-",0,0,2
"107",605,2020-04-03,"6:00 PM","Madhya Pradesh","-","-",0,6,104
"108",606,2020-04-03,"6:00 PM","Maharashtra","-","-",42,16,335
"109",609,2020-04-03,"6:00 PM","Odisha","-","-",0,0,5
"110",617,2020-04-03,"6:00 PM","West Bengal","-","-",3,3,63
"111",625,2020-04-04,"6:00 PM","Chhattisgarh","-","-",3,0,9
"112",628,2020-04-04,"6:00 PM","Gujarat","-","-",14,10,105
"113",632,2020-04-04,"6:00 PM","Jharkhand","-","-",0,0,2
"114",636,2020-04-04,"6:00 PM","Madhya Pradesh","-","-",0,6,104
"115",637,2020-04-04,"6:00 PM","Maharashtra","-","-",42,24,490
"116",640,2020-04-04,"6:00 PM","Odisha","-","-",0,0,5
"117",648,2020-04-04,"6:00 PM","West Bengal","-","-",3,3,69
"118",655,2020-04-05,"6:00 PM","Chhattisgarh","-","-",3,0,9
"119",658,2020-04-05,"6:00 PM","Gujarat","-","-",18,11,122
"120",662,2020-04-05,"6:00 PM","Jharkhand","-","-",0,0,3
"121",666,2020-04-05,"6:00 PM","Madhya Pradesh","-","-",0,9,165
"122",667,2020-04-05,"6:00 PM","Maharashtra","-","-",42,24,490
"123",670,2020-04-05,"6:00 PM","Odisha","-","-",0,0,20
"124",678,2020-04-05,"6:00 PM","West Bengal","-","-",10,3,80
"125",685,2020-04-06,"6:00 PM","Chhattisgarh","-","-",8,0,10
"126",688,2020-04-06,"6:00 PM","Gujarat","-","-",22,12,144
"127",692,2020-04-06,"6:00 PM","Jharkhand","-","-",0,0,4
"128",696,2020-04-06,"6:00 PM","Madhya Pradesh","-","-",0,9,165
"129",697,2020-04-06,"6:00 PM","Maharashtra","-","-",56,45,748
"130",700,2020-04-06,"6:00 PM","Odisha","-","-",2,0,21
"131",708,2020-04-06,"6:00 PM","West Bengal","-","-",10,3,80
"132",715,2020-04-07,"6:00 PM","Chhattisgarh","-","-",9,0,10
"133",718,2020-04-07,"6:00 PM","Gujarat","-","-",25,13,165
"134",722,2020-04-07,"6:00 PM","Jharkhand","-","-",0,0,4
"135",726,2020-04-07,"6:00 PM","Madhya Pradesh","-","-",0,13,229
"136",727,2020-04-07,"6:00 PM","Maharashtra","-","-",56,48,868
"137",730,2020-04-07,"6:00 PM","Odisha","-","-",2,1,42
"138",739,2020-04-07,"6:00 PM","West Bengal","-","-",13,3,91
"139",746,2020-04-08,"5:00 PM","Chhattisgarh","-","-",9,0,10
"140",749,2020-04-08,"5:00 PM","Gujarat","-","-",25,13,165
"141",753,2020-04-08,"5:00 PM","Jharkhand","-","-",0,0,4
"142",757,2020-04-08,"5:00 PM","Madhya Pradesh","-","-",0,13,229
"143",758,2020-04-08,"5:00 PM","Maharashtra","-","-",79,64,1018
"144",761,2020-04-08,"5:00 PM","Odisha","-","-",2,1,42
"145",770,2020-04-08,"5:00 PM","West Bengal","-","-",13,5,99
"146",777,2020-04-09,"5:00 PM","Chhattisgarh","-","-",9,0,10
"147",780,2020-04-09,"5:00 PM","Gujarat","-","-",25,16,179
"148",784,2020-04-09,"5:00 PM","Jharkhand","-","-",0,0,13
"149",788,2020-04-09,"5:00 PM","Madhya Pradesh","-","-",0,16,259
"150",789,2020-04-09,"5:00 PM","Maharashtra","-","-",117,72,1135
"151",792,2020-04-09,"5:00 PM","Odisha","-","-",2,1,42
"152",801,2020-04-09,"5:00 PM","West Bengal","-","-",16,5,103
"153",808,2020-04-10,"5:00 PM","Chhattisgarh","-","-",9,0,10
"154",811,2020-04-10,"5:00 PM","Gujarat","-","-",26,17,241
"155",815,2020-04-10,"5:00 PM","Jharkhand","-","-",0,1,13
"156",819,2020-04-10,"5:00 PM","Madhya Pradesh","-","-",0,16,259
"157",820,2020-04-10,"5:00 PM","Maharashtra","-","-",125,97,1364
"158",823,2020-04-10,"5:00 PM","Odisha","-","-",2,1,44
"159",832,2020-04-10,"5:00 PM","West Bengal","-","-",16,5,116
"160",839,2020-04-11,"5:00 PM","Chhattisgarh","-","-",9,0,18
"161",842,2020-04-11,"5:00 PM","Gujarat","-","-",31,19,308
"162",846,2020-04-11,"5:00 PM","Jharkhand","-","-",0,1,17
"163",850,2020-04-11,"5:00 PM","Madhya Pradesh","-","-",0,33,443
"164",851,2020-04-11,"5:00 PM","Maharashtra","-","-",188,110,1574
"165",854,2020-04-11,"5:00 PM","Odisha","-","-",2,1,48
"166",863,2020-04-11,"5:00 PM","West Bengal","-","-",16,5,126
"167",870,2020-04-12,"5:00 PM","Chhattisgarh","-","-",10,0,25
"168",873,2020-04-12,"5:00 PM","Gujarat","-","-",44,22,432
"169",877,2020-04-12,"5:00 PM","Jharkhand","-","-",0,1,17
"170",881,2020-04-12,"5:00 PM","Madhya Pradesh","-","-",0,36,564
"171",882,2020-04-12,"5:00 PM","Maharashtra","-","-",208,127,1761
"172",885,2020-04-12,"5:00 PM","Odisha","-","-",12,1,54
"173",894,2020-04-12,"5:00 PM","West Bengal","-","-",19,5,134
"174",901,2020-04-13,"5:00 PM","Chhattisgarh","-","-",10,0,31
"175",904,2020-04-13,"5:00 PM","Gujarat","-","-",47,26,539
"176",908,2020-04-13,"5:00 PM","Jharkhand","-","-",0,2,19
"177",912,2020-04-13,"5:00 PM","Madhya Pradesh","-","-",44,43,604
"178",913,2020-04-13,"5:00 PM","Maharashtra","-","-",217,149,1985
"179",917,2020-04-13,"5:00 PM","Odisha","-","-",12,1,54
"180",926,2020-04-13,"5:00 PM","West Bengal","-","-",29,7,152
