"","Sno","Date","Time","State","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"147",780,"09/04/20","5:00 PM","Gujarat","-","-",25,16,179
"148",784,"09/04/20","5:00 PM","Jharkhand","-","-",0,0,13
"149",788,"09/04/20","5:00 PM","Madhya Pradesh","-","-",0,16,259
"150",789,"09/04/20","5:00 PM","Maharashtra","-","-",117,72,1135
"151",792,"09/04/20","5:00 PM","Odisha","-","-",2,1,42
"152",801,"09/04/20","5:00 PM","West Bengal","-","-",16,5,103
"153",808,"10/04/20","5:00 PM","Chhattisgarh","-","-",9,0,10
"154",811,"10/04/20","5:00 PM","Gujarat","-","-",26,17,241
"155",815,"10/04/20","5:00 PM","Jharkhand","-","-",0,1,13
"156",819,"10/04/20","5:00 PM","Madhya Pradesh","-","-",0,16,259
"157",820,"10/04/20","5:00 PM","Maharashtra","-","-",125,97,1364
"158",823,"10/04/20","5:00 PM","Odisha","-","-",2,1,44
"159",832,"10/04/20","5:00 PM","West Bengal","-","-",16,5,116
"160",839,"11/04/20","5:00 PM","Chhattisgarh","-","-",9,0,18
"161",842,"11/04/20","5:00 PM","Gujarat","-","-",31,19,308
"162",846,"11/04/20","5:00 PM","Jharkhand","-","-",0,1,17
"163",850,"11/04/20","5:00 PM","Madhya Pradesh","-","-",0,33,443
"164",851,"11/04/20","5:00 PM","Maharashtra","-","-",188,110,1574
"165",854,"11/04/20","5:00 PM","Odisha","-","-",2,1,48
"166",863,"11/04/20","5:00 PM","West Bengal","-","-",16,5,126
"167",870,"12/04/20","5:00 PM","Chhattisgarh","-","-",10,0,25
"168",873,"12/04/20","5:00 PM","Gujarat","-","-",44,22,432
"169",877,"12/04/20","5:00 PM","Jharkhand","-","-",0,1,17
"170",881,"12/04/20","5:00 PM","Madhya Pradesh","-","-",0,36,564
"171",882,"12/04/20","5:00 PM","Maharashtra","-","-",208,127,1761
"172",885,"12/04/20","5:00 PM","Odisha","-","-",12,1,54
"173",894,"12/04/20","5:00 PM","West Bengal","-","-",19,5,134
"174",901,"13/04/20","5:00 PM","Chhattisgarh","-","-",10,0,31
"175",904,"13/04/20","5:00 PM","Gujarat","-","-",47,26,539
"176",908,"13/04/20","5:00 PM","Jharkhand","-","-",0,2,19
"177",912,"13/04/20","5:00 PM","Madhya Pradesh","-","-",44,43,604
"178",913,"13/04/20","5:00 PM","Maharashtra","-","-",217,149,1985
"179",917,"13/04/20","5:00 PM","Odisha","-","-",12,1,54
"180",926,"13/04/20","5:00 PM","West Bengal","-","-",29,7,152
"181",933,"14/04/20","5:00 PM","Chhattisgarh","-","-",10,0,31
"182",936,"14/04/20","5:00 PM","Gujarat","-","-",55,26,617
"183",940,"14/04/20","5:00 PM","Jharkhand","-","-",0,2,24
"184",944,"14/04/20","5:00 PM","Madhya Pradesh","-","-",51,50,730
"185",945,"14/04/20","5:00 PM","Maharashtra","-","-",229,160,2337
"186",950,"14/04/20","5:00 PM","Odisha","-","-",18,1,55
"187",959,"14/04/20","5:00 PM","West Bengal","-","-",36,7,190
"188",966,"15/04/20","5:00 PM","Chhattisgarh","-","-",13,0,33
"189",969,"15/04/20","5:00 PM","Gujarat","-","-",59,30,695
"190",973,"15/04/20","5:00 PM","Jharkhand","-","-",0,2,27
"191",977,"15/04/20","5:00 PM","Madhya Pradesh","-","-",64,53,987
"192",978,"15/04/20","5:00 PM","Maharashtra","-","-",259,178,2687
"193",983,"15/04/20","5:00 PM","Odisha","-","-",18,1,60
"194",992,"15/04/20","5:00 PM","West Bengal","-","-",37,7,213
"195",999,"16/04/20","5:00 PM","Chhattisgarh","-","-",17,0,33
"196",1002,"16/04/20","5:00 PM","Gujarat","-","-",64,36,871
"197",1006,"16/04/20","5:00 PM","Jharkhand","-","-",0,2,28
"198",1010,"16/04/20","5:00 PM","Madhya Pradesh","-","-",64,53,1120
"199",1011,"16/04/20","5:00 PM","Maharashtra","-","-",295,187,2919
"200",1016,"16/04/20","5:00 PM","Odisha","-","-",18,1,60
"201",1025,"16/04/20","5:00 PM","West Bengal","-","-",42,7,231
"202",1032,"17/04/20","5:00 PM","Chhattisgarh","-","-",23,0,36
"203",1035,"17/04/20","5:00 PM","Gujarat","-","-",74,38,1021
"204",1039,"17/04/20","5:00 PM","Jharkhand","-","-",0,2,29
"205",1043,"17/04/20","5:00 PM","Madhya Pradesh","-","-",65,57,1308
"206",1044,"17/04/20","5:00 PM","Maharashtra","-","-",300,194,3205
"207",1049,"17/04/20","5:00 PM","Odisha","-","-",19,1,60
"208",1058,"17/04/20","5:00 PM","West Bengal","-","-",51,10,255
"209",1065,"18/04/20","5:00 PM","Chhattisgarh","-","-",24,0,36
"210",1068,"18/04/20","5:00 PM","Gujarat","-","-",88,48,1272
"211",1072,"18/04/20","5:00 PM","Jharkhand","-","-",0,2,33
"212",1076,"18/04/20","5:00 PM","Madhya Pradesh","-","-",69,69,1355
"213",1077,"18/04/20","5:00 PM","Maharashtra","-","-",331,201,3323
"214",1082,"18/04/20","5:00 PM","Odisha","-","-",21,1,60
"215",1091,"18/04/20","5:00 PM","West Bengal","-","-",55,10,287
"216",1098,"19/04/20","5:00 PM","Chhattisgarh","-","-",24,0,36
"217",1101,"19/04/20","5:00 PM","Gujarat","-","-",94,58,1604
"218",1105,"19/04/20","5:00 PM","Jharkhand","-","-",0,2,35
"219",1109,"19/04/20","5:00 PM","Madhya Pradesh","-","-",127,70,1407
"220",1110,"19/04/20","5:00 PM","Maharashtra","-","-",365,211,3651
"221",1115,"19/04/20","5:00 PM","Odisha","-","-",24,1,61
"222",1124,"19/04/20","5:00 PM","West Bengal","-","-",62,12,310
"223",1131,"20/04/20","5:00 PM","Chhattisgarh","-","-",25,0,36
"224",1134,"20/04/20","5:00 PM","Gujarat","-","-",106,67,1851
"225",1138,"20/04/20","5:00 PM","Jharkhand","-","-",0,2,42
"226",1142,"20/04/20","5:00 PM","Madhya Pradesh","-","-",127,74,1485
"227",1143,"20/04/20","5:00 PM","Maharashtra","-","-",507,223,4203
"228",1148,"20/04/20","5:00 PM","Odisha","-","-",24,1,68
"229",1157,"20/04/20","5:00 PM","West Bengal","-","-",66,12,339
"230",1164,"21/04/20","5:00 PM","Chhattisgarh","-","-",25,0,36
"231",1167,"21/04/20","5:00 PM","Gujarat","-","-",131,77,2066
"232",1171,"21/04/20","5:00 PM","Jharkhand","-","-",0,2,46
"233",1175,"21/04/20","5:00 PM","Madhya Pradesh","-","-",127,76,1540
"234",1176,"21/04/20","5:00 PM","Maharashtra","-","-",572,232,4669
"235",1181,"21/04/20","5:00 PM","Odisha","-","-",24,1,74
"236",1190,"21/04/20","5:00 PM","West Bengal","-","-",73,12,392
"237",1197,"22/04/20","5:00 PM","Chhattisgarh","-","-",26,0,36
"238",1200,"22/04/20","5:00 PM","Gujarat","-","-",144,95,2272
"239",1204,"22/04/20","5:00 PM","Jharkhand","-","-",0,3,45
"240",1208,"22/04/20","5:00 PM","Madhya Pradesh","-","-",148,80,1592
"241",1209,"22/04/20","5:00 PM","Maharashtra","-","-",722,251,5221
"242",1213,"22/04/20","5:00 PM","Odisha","-","-",30,1,82
"243",1222,"22/04/20","5:00 PM","West Bengal","-","-",73,15,423
"244",1229,"23/04/20","5:00 PM","Chhattisgarh","-","-",28,0,36
"245",1232,"23/04/20","5:00 PM","Gujarat","-","-",179,103,2407
"246",1236,"23/04/20","5:00 PM","Jharkhand","-","-",8,3,49
"247",1240,"23/04/20","5:00 PM","Madhya Pradesh","-","-",148,81,1695
"248",1241,"23/04/20","5:00 PM","Maharashtra","-","-",789,269,5652
"249",1245,"23/04/20","5:00 PM","Odisha","-","-",32,1,83
"250",1254,"23/04/20","5:00 PM","West Bengal","-","-",79,15,456
"251",1261,"24/04/20","5:00 PM","Chhattisgarh","-","-",28,0,36
"252",1264,"24/04/20","5:00 PM","Gujarat","-","-",258,112,2624
"253",1268,"24/04/20","5:00 PM","Jharkhand","-","-",8,3,55
"254",1272,"24/04/20","5:00 PM","Madhya Pradesh","-","-",203,83,1852
"255",1273,"24/04/20","5:00 PM","Maharashtra","-","-",840,283,6430
"256",1277,"24/04/20","5:00 PM","Odisha","-","-",33,1,90
"257",1286,"24/04/20","5:00 PM","West Bengal","-","-",103,15,514
"258",1293,"25/04/20","5:00 PM","Chhattisgarh","-","-",30,0,36
"259",1296,"25/04/20","5:00 PM","Gujarat","-","-",265,127,2815
"260",1300,"25/04/20","5:00 PM","Jharkhand","-","-",9,3,59
"261",1304,"25/04/20","5:00 PM","Madhya Pradesh","-","-",210,92,1952
"262",1305,"25/04/20","5:00 PM","Maharashtra","-","-",957,301,6817
"263",1309,"25/04/20","5:00 PM","Odisha","-","-",33,1,94
"264",1318,"25/04/20","5:00 PM","West Bengal","-","-",103,18,571
"265",1325,"26/04/20","5:00 PM","Chhattisgarh","-","-",32,0,37
"266",1328,"26/04/20","5:00 PM","Gujarat","-","-",282,133,3071
"267",1332,"26/04/20","5:00 PM","Jharkhand","-","-",13,3,67
"268",1336,"26/04/20","5:00 PM","Madhya Pradesh","-","-",210,99,2096
"269",1337,"26/04/20","5:00 PM","Maharashtra","-","-",1076,323,7628
"270",1341,"26/04/20","5:00 PM","Odisha","-","-",34,1,103
"271",1350,"26/04/20","5:00 PM","West Bengal","-","-",105,18,611
"272",1357,"27/04/20","5:00 PM","Chhattisgarh","-","-",32,0,37
"273",1360,"27/04/20","5:00 PM","Gujarat","-","-",313,151,3301
"274",1364,"27/04/20","5:00 PM","Jharkhand","-","-",13,3,82
"275",1368,"27/04/20","5:00 PM","Madhya Pradesh","-","-",302,106,2168
"276",1369,"27/04/20","5:00 PM","Maharashtra","-","-",1188,342,8068
"277",1373,"27/04/20","5:00 PM","Odisha","-","-",35,1,108
"278",1382,"27/04/20","5:00 PM","West Bengal","-","-",105,20,649
"279",1389,"28/04/20","5:00 PM","Chhattisgarh","-","-",32,0,37
"280",1392,"28/04/20","5:00 PM","Gujarat","-","-",394,162,3548
"281",1396,"28/04/20","5:00 PM","Jharkhand","-","-",17,3,103
"282",1400,"28/04/20","5:00 PM","Madhya Pradesh","-","-",361,113,2368
"283",1401,"28/04/20","5:00 PM","Maharashtra","-","-",1282,369,8590
"284",1405,"28/04/20","5:00 PM","Odisha","-","-",37,1,118
"285",1414,"28/04/20","5:00 PM","West Bengal","-","-",109,20,697
"286",1421,"29/04/20","5:00 PM","Chhattisgarh","-","-",34,0,38
"287",1424,"29/04/20","5:00 PM","Gujarat","-","-",434,181,3774
"288",1428,"29/04/20","5:00 PM","Jharkhand","-","-",19,3,105
"289",1432,"29/04/20","5:00 PM","Madhya Pradesh","-","-",377,119,2561
"290",1433,"29/04/20","5:00 PM","Maharashtra","-","-",1388,400,9318
"291",1437,"29/04/20","5:00 PM","Odisha","-","-",38,1,119
"292",1446,"29/04/20","5:00 PM","West Bengal","-","-",119,22,725
"293",1453,"30/04/20","5:00 PM","Chhattisgarh","-","-",36,0,38
"294",1456,"30/04/20","5:00 PM","Gujarat","-","-",527,197,4082
"295",1460,"30/04/20","5:00 PM","Jharkhand","-","-",19,3,107
"296",1464,"30/04/20","5:00 PM","Madhya Pradesh","-","-",461,130,2660
"297",1465,"30/04/20","5:00 PM","Maharashtra","-","-",1593,432,9915
"298",1469,"30/04/20","5:00 PM","Odisha","-","-",39,1,128
"299",1478,"30/04/20","5:00 PM","West Bengal","-","-",124,22,758
"300",1485,"01/05/20","5:00 PM","Chhattisgarh","-","-",36,0,40
"301",1488,"01/05/20","5:00 PM","Gujarat","-","-",613,214,4395
"302",1492,"01/05/20","5:00 PM","Jharkhand","-","-",20,3,111
"303",1496,"01/05/20","5:00 PM","Madhya Pradesh","-","-",482,137,2719
"304",1497,"01/05/20","5:00 PM","Maharashtra","-","-",1773,459,10498
"305",1501,"01/05/20","5:00 PM","Odisha","-","-",41,1,143
"306",1510,"01/05/20","5:00 PM","West Bengal","-","-",139,33,795
"307",1517,"02/05/20","5:00 PM","Chhattisgarh","-","-",36,0,43
"308",1520,"02/05/20","5:00 PM","Gujarat","-","-",735,236,4721
"309",1524,"02/05/20","5:00 PM","Jharkhand","-","-",20,3,111
"310",1528,"02/05/20","5:00 PM","Madhya Pradesh","-","-",524,145,2719
"311",1529,"02/05/20","5:00 PM","Maharashtra","-","-",1879,485,11506
"312",1533,"02/05/20","5:00 PM","Odisha","-","-",55,1,149
"313",1542,"02/05/20","5:00 PM","West Bengal","-","-",139,33,795
"314",1549,"03/05/20","5:00 PM","Chhattisgarh","-","-",36,0,43
"315",1552,"03/05/20","5:00 PM","Gujarat","-","-",896,262,5055
"316",1556,"03/05/20","5:00 PM","Jharkhand","-","-",22,3,115
"317",1560,"03/05/20","5:00 PM","Madhya Pradesh","-","-",798,156,2846
"318",1561,"03/05/20","5:00 PM","Maharashtra","-","-",2000,521,12296
"319",1565,"03/05/20","5:00 PM","Odisha","-","-",56,1,160
"320",1574,"03/05/20","5:00 PM","West Bengal","-","-",151,33,922
"321",1581,"04/05/20","5:00 PM","Chhattisgarh","-","-",36,0,57
"322",1584,"04/05/20","5:00 PM","Gujarat","-","-",1042,290,5428
"323",1588,"04/05/20","5:00 PM","Jharkhand","-","-",22,3,115
"324",1592,"04/05/20","5:00 PM","Madhya Pradesh","-","-",798,165,2942
"325",1593,"04/05/20","5:00 PM","Maharashtra","-","-",2115,548,12974
"326",1597,"04/05/20","5:00 PM","Odisha","-","-",60,1,163
"327",1606,"04/05/20","5:00 PM","West Bengal","-","-",151,35,963
"328",1613,"05/05/20","5:00 PM","Chhattisgarh","-","-",36,0,58
"329",1616,"05/05/20","5:00 PM","Gujarat","-","-",1195,319,5804
"330",1620,"05/05/20","5:00 PM","Jharkhand","-","-",27,3,115
"331",1624,"05/05/20","5:00 PM","Madhya Pradesh","-","-",1000,176,3049
"332",1625,"05/05/20","5:00 PM","Maharashtra","-","-",2465,583,14541
"333",1629,"05/05/20","5:00 PM","Odisha","-","-",60,1,170
"334",1638,"05/05/20","5:00 PM","West Bengal","-","-",218,133,1259
"335",1645,"06/05/20","8:00 AM","Chhattisgarh","-","-",36,0,59
"336",1649,"06/05/20","8:00 AM","Gujarat","-","-",1381,368,6245
"337",1653,"06/05/20","8:00 AM","Jharkhand","-","-",33,3,125
"338",1657,"06/05/20","8:00 AM","Madhya Pradesh","-","-",1000,176,3049
"339",1658,"06/05/20","8:00 AM","Maharashtra","-","-",2819,617,15525
"340",1662,"06/05/20","8:00 AM","Odisha","-","-",60,1,175
"341",1671,"06/05/20","8:00 AM","West Bengal","-","-",364,140,1344
"342",1678,"07/05/20","8:00 AM","Chhattisgarh","-","-",36,0,59
"343",1682,"07/05/20","8:00 AM","Gujarat","-","-",1500,396,6625
"344",1686,"07/05/20","8:00 AM","Jharkhand","-","-",37,3,127
"345",1690,"07/05/20","8:00 AM","Madhya Pradesh","-","-",1099,185,3138
"346",1691,"07/05/20","8:00 AM","Maharashtra","-","-",3094,651,16758
"347",1695,"07/05/20","8:00 AM","Odisha","-","-",61,2,185
"348",1704,"07/05/20","8:00 AM","West Bengal","-","-",364,144,1456
"349",1711,"08/05/20","8:00 AM","Chhattisgarh","-","-",38,0,59
"350",1715,"08/05/20","8:00 AM","Gujarat","-","-",1709,425,7012
"351",1719,"08/05/20","8:00 AM","Jharkhand","-","-",41,3,132
"352",1723,"08/05/20","8:00 AM","Madhya Pradesh","-","-",1231,193,3252
"353",1724,"08/05/20","8:00 AM","Maharashtra","-","-",3301,694,17974
"354",1728,"08/05/20","8:00 AM","Odisha","-","-",62,2,219
"355",1737,"08/05/20","8:00 AM","West Bengal","-","-",364,151,1548
"356",1744,"09/05/20","8:00 AM","Chhattisgarh","-","-",38,0,59
"357",1748,"09/05/20","8:00 AM","Gujarat","-","-",1872,449,7402
"358",1752,"09/05/20","8:00 AM","Jharkhand","-","-",52,3,132
"359",1756,"09/05/20","8:00 AM","Madhya Pradesh","-","-",1349,200,3341
"360",1757,"09/05/20","8:00 AM","Maharashtra","-","-",3470,731,19063
"361",1761,"09/05/20","8:00 AM","Odisha","-","-",63,2,271
"362",1770,"09/05/20","8:00 AM","West Bengal","-","-",364,160,1678
"363",1777,"10/05/20","8:00 AM","Chhattisgarh","-","-",43,0,59
"364",1781,"10/05/20","8:00 AM","Gujarat","-","-",2091,472,7796
"365",1785,"10/05/20","8:00 AM","Jharkhand","-","-",78,3,156
"366",1789,"10/05/20","8:00 AM","Madhya Pradesh","-","-",1676,215,3614
"367",1790,"10/05/20","8:00 AM","Maharashtra","-","-",3800,779,20228
"368",1794,"10/05/20","8:00 AM","Odisha","-","-",63,2,294
"369",1803,"10/05/20","8:00 AM","West Bengal","-","-",372,171,1786
"370",1810,"11/05/20","8:00 AM","Chhattisgarh","-","-",49,0,59
"371",1814,"11/05/20","8:00 AM","Gujarat","-","-",2545,493,8194
"372",1818,"11/05/20","8:00 AM","Jharkhand","-","-",78,3,157
"373",1822,"11/05/20","8:00 AM","Madhya Pradesh","-","-",1676,215,3614
"374",1823,"11/05/20","8:00 AM","Maharashtra","-","-",4199,832,22171
